GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ChefsFrontEnd,sample.Users,Chef,4,0,0,0,2,0,1,0,1,0
ChefsFrontEnd,sample.Users,RegularUser,4,0,0,0,2,0,1,0,1,0
ChefsFrontEnd,sample.Users,Admin,4,0,0,0,2,0,1,0,1,0
ChefsFrontEnd,sample.Users,Guest,25,0,0,0,10,0,4,0,4,0
ChefsFrontEnd,sample,User,26,0,0,0,9,0,4,0,4,0
ChefsFrontEnd,sample,Recipe,94,21,0,0,24,8,6,3,6,3
ChefsFrontEnd,sample,Controll,10,0,0,0,4,0,3,0,3,0
ChefsFrontEnd,sample,WriteRecipeController,196,0,12,0,49,0,14,0,8,0
ChefsFrontEnd,sample,MainPageController,647,0,24,0,192,0,55,0,43,0
ChefsFrontEnd,sample,Client,401,0,8,0,122,0,22,0,18,0
ChefsFrontEnd,sample,Content,214,0,18,0,57,0,23,0,14,0
ChefsFrontEnd,sample,AlertBox,71,0,0,0,17,0,3,0,3,0
ChefsFrontEnd,sample,Main,6,0,0,0,3,0,2,0,2,0
ChefsFrontEnd,sample,Controller,3,0,0,0,1,0,1,0,1,0
ChefsFrontEnd,sample,SignUpController,99,0,6,0,31,0,9,0,6,0
ChefsFrontEnd,sample,LogInController,41,0,2,0,15,0,5,0,4,0
ChefsFrontEnd,sample,FXMLMain,199,0,0,0,50,0,3,0,3,0
ChefsFrontEnd,sample,RecipeController,90,0,4,0,23,0,9,0,7,0
